--FTOP110 설비 기준정보--

CORP_CD	GTR_ID	PLC_NM	PLC_CHNL	PLC_ADDR	PLC_TYPE	EQM_IP_ADDR	EQM_IP_PORT	DATA_TYPE	IF_TARGET	ADDR_TAG	DESCR	REG_USER	REG_DATE	UPD_USER	UPD_DATE	USE_YN
A001	ID0300	Device1	Ch1	PX00300	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID4000	Device2	Ch2	PX04000	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 14:54:03.547	migration	2016-10-31 14:54:03.547	N
A001	ID4001	Device2	Ch2	PX04001	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4002	Device2	Ch2	PX04002	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4003	Device2	Ch2	PX04003	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4004	Device2	Ch2	PX04004	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4005	Device2	Ch2	PX04005	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4006	Device2	Ch2	PX04006	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4007	Device2	Ch2	PX04007	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4010	Device2	Ch2	DW00100	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4011	Device2	Ch2	DW00101	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4012	Device2	Ch2	DW00102	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4013	Device2	Ch2	DW00103	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4014	Device2	Ch2	DW00104	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4015	Device2	Ch2	DW00105	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4016	Device2	Ch2	DW00106	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID4017	Device2	Ch2	DW00107	LS	192.168.0.149	4511	Bool	MES	FTOPClient1	LSTest	migration	2016-10-31 15:36:54.150	migration	2016-10-31 15:36:54.150	N
A001	ID5000	Device1	Ch1	PX05000	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5001	Device1	Ch1	PX05001	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5002	Device1	Ch1	PX05002	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5003	Device1	Ch1	PX05003	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5004	Device1	Ch1	PX05004	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5005	Device1	Ch1	PX05005	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
A001	ID5006	Device1	Ch1	PX05006	LS	192.168.0.150	4511	Bool	MES	FTOPClient2	LSTest	migration	2016-10-31 00:00:00.000	migration	2016-10-31 00:00:00.000	N
