공장명	PLC제조사	PLC모델	PLC_IP		공장명	PLC제조사	PLC모델	PLC_IP
주조1라인	LS산전	XGK-CPUS	172.18.8.100		조립1라인 (2공장 1층)			172.18.8.160
주조2라인	LS산전	XGK-CPUS	172.18.8.101		조립2라인 (2공장 1층)			172.18.8.161
주조3라인	LS산전	XGK-CPUS	172.18.8.102		조립3라인 (2공장 1층)			172.18.8.162
주조4라인	LS산전	XGK-CPUS	172.18.8.103		조립4라인 (2공장 1층)			172.18.8.163
주조5라인	LS산전	XGK-CPUS	172.18.8.104		조립5라인 (2공장 1층)			172.18.8.164
주조6라인	LS산전	XGK-CPUS	172.18.8.105		주조라인 테스트베드			172.18.8.165
주조7라인	LS산전	XGK-CPUS	172.18.8.106		주조라인 테스트베드			172.18.8.166
주조8라인	LS산전	XGK-CPUS	172.18.8.107		예비			172.18.8.167
주조9라인	LS산전	XGK-CPUS	172.18.8.108		예비			172.18.8.168
주조10라인	LS산전	XGK-CPUS	172.18.8.109		예비			172.18.8.169
주조11라인	LS산전	XGK-CPUS	172.18.8.110		예비			172.18.8.170
주조12라인	LS산전	XGK-CPUS	172.18.8.111		예비			172.18.8.171
주조13라인	LS산전	XGK-CPUS	172.18.8.112		예비			172.18.8.172
주조14라인	LS산전	XGK-CPUS	172.18.8.113		예비			172.18.8.173
주조15라인	LS산전	XGK-CPUS	172.18.8.114		예비			172.18.8.174
주조16라인	LS산전	XGK-CPUS	172.18.8.115		예비			172.18.8.175
주조17라인	LS산전	XGK-CPUS	172.18.8.116		예비			172.18.8.176
용해1/2	LS산전	XGK-CPUS	172.18.8.117		예비			172.18.8.177
용해2/2	LS산전	XGK-CPUS	172.18.8.118		예비			172.18.8.178
열처리	LS산전	XGK-CPUS	172.18.8.119		예비			172.18.8.179
S/C세척실	LS산전	XGK-CPUS	172.18.8.120		F-TOP Gateway			172.18.8.180
가공26라인, 가공27라인	LS산전	XGK-CPUS	172.18.8.121		예비			172.18.8.181
가공28라인	LS산전	XGK-CPUS	172.18.8.122		예비			172.18.8.182
가공2라인	LS산전	XGK-CPUS	172.18.8.123		예비			172.18.8.183
가공3라인, 가공4라인	LS산전	XGK-CPUS	172.18.8.124		예비			172.18.8.184
가공5라인, 가공6라인	LS산전	XGK-CPUS	172.18.8.125		시운전 용 임시1			172.18.8.185
가공7라인	LS산전	XGK-CPUS	172.18.8.126		시운전 용 임시2			172.18.8.186
가공8라인	LS산전	XGK-CPUS	172.18.8.127		시운전 용 임시3			172.18.8.187
가공9라인	LS산전	XGK-CPUS	172.18.8.128		시운전 용 임시4			172.18.8.188
가공10라인	LS산전	XGK-CPUS	172.18.8.129		시운전 용 임시5			172.18.8.189
가공11라인	LS산전	XGK-CPUS	172.18.8.130					
가공12라인	LS산전	XGK-CPUS	172.18.8.131					
가공13라인	LS산전	XGK-CPUS	172.18.8.132					
세척라인(2공장 1층)	LS산전	XGK-CPUS	172.18.8.133					
HA3라인	LS산전	XGK-CPUS	172.18.8.134					
HA2라인, HA5라인	LS산전	XGK-CPUS	172.18.8.135					
HA4라인, HA6라인	LS산전	XGK-CPUS	172.18.8.136					
이온수 세척기(3공장 1층)	LS산전	XGK-CPUS	172.18.8.137					
가공14라인	LS산전	XGK-CPUS	172.18.8.138					
가공15라인	LS산전	XGK-CPUS	172.18.8.139					
가공16라인	LS산전	XGK-CPUS	172.18.8.140					
가공17라인	LS산전	XGK-CPUS	172.18.8.141					
가공18라인	LS산전	XGK-CPUS	172.18.8.142					
가공30라인	LS산전	XGK-CPUS	172.18.8.143					
가공19라인	LS산전	XGK-CPUS	172.18.8.144					
가공20라인	LS산전	XGK-CPUS	172.18.8.145					
가공21라인	LS산전	XGK-CPUS	172.18.8.146					
가공22라인	LS산전	XGK-CPUS	172.18.8.147					
가공23라인	LS산전	XGK-CPUS	172.18.8.148					
가공24라인	LS산전	XGK-CPUS	172.18.8.149					
가공25라인	LS산전	XGK-CPUS	172.18.8.150					
가공29라인	LS산전	XGK-CPUS	172.18.8.151					
예비	LS산전	XGK-CPUS	172.18.8.152					
예비	LS산전	XGK-CPUS	172.18.8.153					
예비	LS산전	XGK-CPUS	172.18.8.154					
예비	LS산전	XGK-CPUS	172.18.8.155					
예비	LS산전	XGK-CPUS	172.18.8.156		서브넷 마스크			255.255.255.0
예비	LS산전	XGK-CPUS	172.18.8.157		기본 게이트웨이			172.18.8.1
예비	LS산전	XGK-CPUS	172.18.8.158		기본 설정 DNS 서버			168.126.63.1
예비	LS산전	XGK-CPUS	172.18.8.159		보조 DNS 서버
